pt**2 (GeV**2),NU (GeV),Z,Q**2 (GeV**2),R,Stat,Syst
0.024,14.11,0.38,2.75,0.684,0.010,0.022
0.073,15.41,0.38,2.72,0.701,0.011,0.022
0.184,16.56,0.39,2.64,0.708,0.008,0.022
0.385,17.19,0.41,2.55,0.734,0.012,0.023
0.587,17.32,0.44,2.57,0.755,0.019,0.024
0.788,17.53,0.48,2.60,0.784,0.028,0.024
0.987,17.70,0.50,2.62,0.812,0.040,0.025
1.224,17.82,0.53,2.64,0.892,0.052,0.027
1.818,18.29,0.55,2.54,0.948,0.064,0.029
