pt**2 (GeV**2),NU (GeV),Z,Q**2 (GeV**2),R,Stat,Syst
0.023,13.10,0.38,2.65,0.779,0.012,0.023
0.073,14.03,0.38,2.71,0.793,0.014,0.023
0.186,14.73,0.38,2.62,0.840,0.010,0.024
0.384,15.23,0.39,2.63,0.909,0.017,0.027
0.588,15.75,0.43,2.81,0.938,0.026,0.029
0.786,16.16,0.46,2.70,0.970,0.040,0.028
0.987,16.38,0.48,2.73,1.123,0.063,0.032
1.233,16.79,0.51,2.74,1.138,0.076,0.032
1.768,17.79,0.54,2.61,1.292,0.104,0.038
