NU (GEV),z,Q**2 (GeV**2),pt**2 (GeV**2),R,Stat,Syst
5.27,0.58,1.87,0.258,0.622,0.014,0.019
7.14,0.50,2.06,0.175,0.612,0.008,0.022
9.09,0.45,2.22,0.148,0.637,0.006,0.024
11.04,0.42,2.40,0.151,0.672,0.005,0.025
13.01,0.41,2.54,0.175,0.709,0.006,0.026
14.99,0.39,2.64,0.205,0.727,0.006,0.025
16.99,0.37,2.61,0.240,0.757,0.007,0.023
18.96,0.35,2.49,0.282,0.774,0.008,0.023
21.55,0.33,2.18,0.336,0.838,0.010,0.025
