pt**2 (GeV**2),NU (GeV),Z,Q**2 (GeV**2),R,Stat,Syst
0.023,12.92,0.39,2.57,0.874,0.004,0.025
0.073,13.91,0.40,2.64,0.894,0.005,0.025
0.182,15.05,0.40,2.62,0.894,0.004,0.029
0.384,15.88,0.41,2.65,0.888,0.006,0.026
0.585,16.35,0.45,2.67,0.895,0.010,0.026
0.786,16.77,0.47,2.64,0.916,0.017,0.027
0.988,16.98,0.51,2.58,0.923,0.025,0.027
1.225,17.29,0.53,2.66,0.923,0.032,0.026
1.790,17.75,0.56,2.74,1.028,0.043,0.030
