	rep	chi2	aN	bN	gA	gB	g2B	B2
0	0	106.987	0.33204101187997864	0.20987962250897527	3.4914136029202458E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
1	1	224.452	0.46739142844347747	0.31650218334381780	2.3070845965044273E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
2	2	206.025	0.49963023177060917	0.32073304567118416	2.1711319167992293E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
3	3	180.483	0.32701442673456232	0.29874588704311450	2.9576941950998914E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
4	4	187.915	0.49890673722248635	0.33803499967984602	2.3729792654662241E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
5	5	209.484	0.49831965449310711	0.22833297058030788	2.9435494044236621E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
6	6	183.562	0.35384480828436560	0.25253078829837561	3.0081126705105099E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
7	7	164.216	0.18720168756488509	0.10172139449709044	6.3646505665869491E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
8	8	193.110	0.27869242869438826	0.18631102023384125	3.8289439833743999E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
9	9	205.616	0.49398096397980873	0.22270634564926328	3.3920682893359810E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
10	10	212.553	0.30410928729662617	0.20710787257737384	4.0978736951817196E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
11	11	221.837	0.40759120118902636	0.29761194879410086	2.6618463378176194E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
12	12	193.347	0.28110998580596741	0.13860316808691162	4.5889829392571801E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
13	13	176.628	5.5041748320911327E-003	3.0807225604827376E-003	0.53481747117802114	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
14	14	178.562	0.48270746231993567	0.22051825680536574	2.7196366655584003E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
15	15	189.635	0.48653591180871059	0.28646572457353914	2.6188850856377233E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
16	16	223.882	0.41831409030801148	0.19128140340390154	3.3203714350532487E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
17	17	193.396	0.49999995182817947	0.40638410433870681	1.8897076358333154E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
18	18	178.293	0.44538454924304760	0.22673734162847681	3.4132383532562982E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
19	19	191.596	0.30554981401200437	0.26503426194147373	3.1982546657460698E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
20	20	229.276	0.44801000621515419	0.32691609050797632	2.3966226116419520E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
21	21	207.467	0.25393489970639421	0.11949046070820907	5.4109943184890374E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
22	22	214.331	0.35307054880132122	0.29224234365446944	2.6478768462419144E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
23	23	158.932	0.30780983400143336	0.24200249792708556	3.0667236928990649E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
24	24	177.719	0.49987801370840834	0.26355200865823109	2.6313350528541002E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
25	25	197.911	0.49859427495574415	0.26884199886870802	2.6371529555539897E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
26	26	156.197	0.48405449905389009	0.29654718582108086	2.6221946342820934E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
27	27	160.509	0.47472108125252599	0.20645218137642915	3.1111751551962441E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
28	28	193.662	5.2583025262815664E-002	4.0889346922221403E-002	0.13876332578727624	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
29	29	159.013	0.25309527624813738	0.21200825675028637	3.6311072590947013E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
30	30	136.347	0.49999838860088119	0.32126662058940614	2.2601443320319770E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
31	31	213.150	0.43178125739111284	0.24319625209783075	3.0669624872114776E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
32	32	192.208	0.49789316105633374	0.31928688684930079	2.1783762244499516E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
33	33	201.047	0.27179813165974598	0.17433072155137566	4.3172104122424115E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
34	34	154.345	0.31892849372956900	0.17457691944658646	3.9231050678815049E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
