	rep	chi2	aN	bN	gA	gB	g2B	B2
35	35	149.285	0.39773265866888335	0.19706644620681762	3.4866558739418019E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
36	36	216.345	0.25129452729265300	0.10629117103491578	6.4787279986173063E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
37	37	199.393	0.47942058201314297	0.28442238025332972	2.5482149359737249E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
38	38	250.118	0.46600299945284795	0.28023970587785968	2.8095879028167681E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
39	39	214.352	0.24472290792519247	0.15277764466915017	4.2635751283330081E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
40	40	225.702	0.37069415403434680	0.25343877695709449	3.2482061568246512E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
41	41	208.759	0.48985905028170218	0.31136600069218506	2.4149284982599273E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
42	42	225.545	0.42201405492425526	0.27147883789670452	2.6089784987758713E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
43	43	175.245	0.49962343881550075	0.34949362480968388	2.1298996831468964E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
44	44	171.756	0.49755958003401690	0.25717740388786209	2.6888761803542827E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
45	45	220.637	0.17146269593635771	8.5296192447360961E-002	7.4981089773452747E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
46	46	191.862	7.3689998097879128E-002	4.9598042718185978E-002	0.12288671674236140	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
47	47	219.390	0.45048810908099446	0.46923492274201950	1.8492214274194896E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
48	48	189.850	0.39433749600974188	0.29559121985970632	2.5107807901906809E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
49	49	189.850	0.39433749600974188	0.29559121985970632	2.5107807901906809E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
50	50	167.660	0.49698956843785624	0.34309722282120325	2.1826675976978183E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
51	51	171.787	0.49694123693512138	0.34588892561468787	2.2469286815310130E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
52	52	216.936	0.49344431475892570	0.21263865874042581	3.2756890412665052E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
53	53	185.076	0.32688175182113666	0.25270929468586023	2.9846676085606871E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
54	54	163.367	0.30994732466308456	0.20606351620080429	3.7219212265693358E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
55	55	190.169	0.46653156895235393	0.19286015561881964	3.2701143149939993E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
56	56	211.395	0.32027938825564023	0.17402572443746339	4.1450719759172361E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
57	57	193.795	0.16784460563711201	8.1957590594743515E-002	7.4113733201726650E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
58	58	199.787	3.3752131529973292E-002	2.0163800290180355E-002	0.21998093996644374	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
59	59	182.514	0.28965409612414184	0.28118444470892617	2.8052805609416365E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
60	60	199.689	0.30520598258325499	0.22682622975896272	3.7653510600186735E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
61	61	232.210	0.48539752464443320	0.32668293775187041	2.4357111707213552E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
62	62	234.614	0.49696101333357690	0.37822996642858830	2.1017583393471706E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
63	63	204.264	0.49749930436093137	0.28183096018766668	2.7764859096588546E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
64	64	174.793	0.19504753916723333	0.15929546230220451	4.7673819817356633E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
65	65	203.018	0.24312125192831874	0.13229152994135696	5.0378587514886886E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
66	66	180.244	0.46590371717878298	0.27237201382650200	2.8205355976056334E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
67	67	196.942	0.42521973935906154	0.20735356306146560	3.4385463384624448E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
68	68	177.811	0.34307552267486185	0.22595234871117131	2.9952438737929854E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
69	69	222.804	0.46203642339089357	0.31393717829645373	2.4245185447865358E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
70	70	187.132	0.49747403705565019	0.32471175597817731	2.5759517844089475E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
71	71	187.132	0.49747403705565019	0.32471175597817731	2.5759517844089475E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
72	72	177.266	6.0126278091513330E-002	3.9459625985144992E-002	0.14853056891856953	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
73	73	189.739	0.36823969489842323	0.35715562155474478	2.4978124145565772E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
74	74	234.202	0.49464147584934026	0.21357004619967609	3.0047656710715631E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
75	75	184.953	0.43019607982473951	0.20645471343092317	3.4155006796538823E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
76	76	167.407	0.49937896102739998	0.24705192157667344	2.5661340645791064E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
77	77	215.853	0.49988632806225664	0.22030516734052275	3.2211429990923079E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
78	78	190.422	0.44844169609529005	0.33737841032955551	2.4001429535926211E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
79	79	188.386	0.25958425559692622	0.22384406335397999	3.6215497745443304E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
80	80	175.151	0.36553289815977053	0.26369764378390981	2.9228260241669246E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
81	81	196.453	0.49988036000943858	0.32957756588877613	2.4335348105735788E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
82	82	203.019	0.46956082069763461	0.30437861617772088	2.7896359043645291E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
83	83	177.931	0.44726574515180639	0.28004729302240827	2.7215228995672525E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
84	84	192.464	0.44689820361724841	0.36591699854499998	2.1481304450666094E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
85	85	195.391	0.32553388283374385	0.21583601443314779	3.5403879793014292E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
86	86	161.975	0.45709886569971325	0.29692281585951119	2.5799101636849953E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
87	87	148.985	0.46837152853570685	0.28450950584212259	2.6046185061233906E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
88	88	166.499	0.48798130237988502	0.22730894083298908	2.8524056469505066E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
89	89	236.812	0.43923596116554486	0.30187523524306897	2.5276950611879845E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
90	90	194.271	0.39640323043885556	0.25410729526091619	3.1826613268337356E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
91	91	161.592	0.49626542487553826	0.26435324621380779	2.3851022932712684E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
92	92	189.346	0.14193660080770407	0.10786182593968682	6.9264908979361439E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
93	93	166.952	0.26605334894397575	0.25515989152181384	3.1688584544444010E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
94	94	231.174	0.12018092067278652	9.3514054257761464E-002	7.9965975819274560E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
95	95	205.076	0.49792509040286259	0.22460903561833534	3.0795704157258075E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
96	96	185.520	0.14063508417121204	0.10751735711940202	6.4508148129714504E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
97	97	151.610	0.18054008834831864	0.13437748558426005	5.1204818543441499E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
98	98	213.144	0.49244658188099089	0.22381236583644637	3.2819950727918434E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
99	99	189.174	0.26765333299059130	0.18121279087448372	4.1096725186120064E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
100	100	186.157	0.48331701427357021	0.18160421480357133	3.3019271797308680E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
101	101	203.987	0.49899407811771357	0.20410984196447024	3.1798306060459969E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
102	102	170.321	0.40461505229123684	0.25529551109025383	2.8964374199863752E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
103	103	202.259	0.14988933415686484	0.13410329415035840	6.1629188634366172E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
104	104	182.157	0.28151413311773460	0.19646124440927917	3.9763290855646560E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
105	105	199.204	0.30513191244778259	0.16975296832806047	4.4366365870514346E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
106	106	199.792	0.31817317211782609	0.32205904245917449	2.4822475929585419E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
107	107	175.010	0.47827528537044284	0.23408782668355188	2.9194800265440191E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
108	108	162.886	0.39057035070732077	0.20610784782773561	3.2546627812879536E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
109	109	196.735	0.12018569702795054	9.7179688016034743E-002	7.7293328037527753E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
110	110	186.637	0.45204542098097011	0.25997494334706084	2.6072521513946900E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
111	111	215.653	0.47204452667054309	0.20080799192089341	3.3398632705062825E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
112	112	170.024	4.2869821496866745E-002	2.2795508473755298E-002	0.20757089185174693	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
113	113	194.041	0.49434407958393523	0.29038694084163147	2.6244910526072696E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
114	114	187.132	0.49747403705565019	0.32471175597817731	2.5759517844089475E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
115	115	219.337	0.36823607103254458	0.23964626137246353	3.0089773995519931E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
116	116	187.132	0.49747403705565019	0.32471175597817731	2.5759517844089475E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
117	117	183.498	5.4079501611505765E-002	4.4153807360880606E-002	0.12880168676696957	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
118	118	187.132	0.49747403705565019	0.32471175597817731	2.5759517844089475E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
119	119	200.766	0.24891837439873138	0.21437331878197957	3.6895930557121370E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
120	120	201.072	0.39450683745782017	0.21752403695361222	3.3433877225953257E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
121	121	173.153	0.49668868912703057	0.31338812971026486	2.8028275626796773E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
122	122	194.357	0.39939940486963443	0.49164593428074077	1.5852047817254133E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
123	123	184.743	0.30917876950486495	0.24622199942239875	3.1693394415303611E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
124	124	148.678	0.45428016088728118	0.26890337760777128	2.5952990924573371E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
125	125	233.721	0.49362312517886153	0.20499953123197975	2.9977538431891215E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
126	126	182.282	0.11178463487280152	7.7218420615281780E-002	8.5019939664326305E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
127	127	189.022	0.22345370888537686	0.15946109542326914	4.5399333428653210E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
128	128	181.955	0.49966747539142087	0.29595416958772863	2.7875852628136299E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
129	129	170.747	6.8085058138323468E-002	2.6657923266815597E-002	0.16564774526116999	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
130	130	197.276	0.49749350003761228	0.27965248403630150	2.7706011584801016E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
131	131	178.774	0.26555763301618429	0.19335276459853173	3.9307584479255531E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
132	132	124.064	0.41387564050064118	0.26012258392802395	2.9134671146177182E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
133	133	183.294	0.42789699394427338	0.43653046331806405	1.9620086398287828E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
134	134	163.771	0.35302964996449093	0.33857384356314990	2.3533584793192563E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
135	135	199.203	0.14154698074111760	6.0348555886313840E-002	8.7352799930796587E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
136	136	195.753	0.48638093262017734	0.26484796075391137	2.4278136725143784E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
137	137	156.869	7.4380058376180003E-003	3.6664553490502391E-003	0.48569337615371000	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
138	138	196.325	0.41952514413678377	0.28432603651872701	2.5167721024978884E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
139	139	190.018	0.47662152150912163	0.30185358647033184	2.6399767226933046E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
140	140	184.186	0.48500846400250031	0.36161934740544727	1.9803346651717457E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
141	141	196.173	7.6998527885204032E-002	6.4344546896008437E-002	9.7632775756851919E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
142	142	181.164	0.41230617858876384	0.27001258895385727	2.7847072461259725E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
143	143	210.248	0.21503389714857774	0.15269214732551262	5.1292024296231253E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
144	144	182.435	0.37594394612192106	0.32404175324014417	2.5439914009906861E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
145	145	223.477	0.49971392254220870	0.26473299321932292	2.5321543242120548E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
146	146	226.680	0.44981470218882469	0.38622971522959493	2.1996600014196788E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
147	147	198.246	0.49566816297717675	0.26054227899352134	2.8226333114307223E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
148	148	206.423	0.49301738148046970	0.29861190641691232	2.4021437333126228E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
149	149	184.921	0.40486674403249578	0.27295978087796441	2.8953036131182497E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
150	150	200.934	0.25325110136325363	0.14264784234449984	5.0433757617908026E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
151	151	177.905	0.41244801077002696	0.18115903923161450	3.6462636005752502E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
152	152	179.090	0.49787359612917603	0.40383930473010254	1.9979544874850097E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
153	153	207.377	0.49947355552317840	0.32061650705506067	2.3704271229515128E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
154	154	156.809	0.19153496201694209	0.19053636361525234	4.7689079187040684E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
155	155	201.249	0.41976377154420164	0.31342080895791397	2.2919919261405353E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
156	156	191.633	0.48687248804884597	0.28377202846474475	2.5108763142022261E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
157	157	242.484	0.49596164846323909	0.44704157933872857	1.9043344277575369E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
158	158	178.456	0.43898312870872980	0.48225032051153294	1.8966893394222639E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
159	159	188.937	0.47797814238653702	0.37326313460277644	2.0734422177553835E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
160	160	215.864	0.49789248662324914	0.27799808738113430	2.9088389397848524E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
161	161	208.604	0.15848155464949182	0.16105531142735149	4.7216273797523911E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
162	162	203.854	0.33375670953259629	0.25499386232179255	3.3626918684783180E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
163	163	231.598	0.32118244460183837	0.15193283936749655	4.6095501898320124E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
164	164	203.715	0.49059287305810606	0.25235885737020580	2.9242551856316190E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
165	165	233.552	0.41464427497763912	0.28735755408417374	2.9084698213127647E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
166	166	207.804	6.4296718098557082E-002	7.6730413284307034E-002	9.2743408481628653E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
167	167	208.690	0.49462904664246266	0.28943528764662280	2.5204002189620822E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
168	168	184.907	0.49701318930918803	0.22657040280058455	3.1038095430957258E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
169	169	205.599	0.47645557573786279	0.30031011889880327	2.4638042488895784E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
170	170	178.833	0.41096134032598458	0.31219930929009976	2.6038714477313207E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
171	171	194.543	0.18554004411185204	0.14245603013620595	5.0251512024425238E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
172	172	190.085	0.36591105305490929	0.21171573256459433	3.5488439575505737E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
173	173	159.231	0.48960028560073265	0.22412536598818555	2.9543183391615768E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
174	174	197.316	0.43958052522974211	0.32979168500296469	2.1223864763555089E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
175	175	210.842	0.18703040683937117	0.11887148205000655	5.4721096565176319E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
176	176	220.315	5.2500549787697665E-002	3.0223673114323737E-002	0.16671484177765006	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
177	177	167.025	0.49674770796469159	0.22242539952150781	3.1027345950341956E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
178	178	185.034	0.43396354228659151	0.34400908019235660	2.2738352013721208E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
179	179	199.755	0.33479095611588494	0.19833089759696218	3.4210983156289232E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
180	180	212.306	0.48011649430024184	0.29861312095495629	2.4542581115426398E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
181	181	181.040	0.44606351545351364	0.32183427517616192	2.4574682987247742E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
182	182	186.665	0.13006686855628891	7.0686850876978763E-002	8.7169118904528609E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
183	183	214.892	0.46634886193281022	0.25176565674315549	2.5189597265510288E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
184	184	185.866	0.46518233171088463	0.37608287234496607	2.3251536888472146E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
185	185	197.878	0.41163816333708525	0.21450549473848049	3.2045999870644826E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
186	186	197.784	0.45558512883883373	0.21438213717496721	2.8718867120761771E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
187	187	199.160	6.2607685970452048E-003	3.3458706353808598E-003	0.50726883379355070	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
188	188	230.749	0.13338466336827098	6.1407546637163413E-002	9.3701444383916588E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
189	189	215.191	0.48004330129071315	0.39885822982556890	1.9643501352612946E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
190	190	187.132	0.49747403705565019	0.32471175597817731	2.5759517844089475E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
191	191	193.180	0.49481871561902235	0.20046454889205786	3.1332331606016006E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
192	192	187.223	0.42709219349637939	0.33071692447969558	2.5067744268361336E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
193	193	200.465	0.40844888130614132	0.21850179997684860	3.3288585218830158E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
194	194	196.209	0.48986645110243687	0.23383818992419514	2.9120549732545520E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
195	195	172.185	0.28107129870006653	0.22105202247197642	3.7080673010045029E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
196	196	188.912	0.49317874940573669	0.23949493422924484	2.9343877120009521E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
197	197	201.790	0.38157026277822581	0.23734382746688043	3.4642663561611831E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
198	198	187.132	0.49747403705565019	0.32471175597817731	2.5759517844089475E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
199	199	208.657	0.49951137620202046	0.29260539622925502	2.4501283862641277E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
200	200	162.387	0.29192201478363328	0.17758869610224412	4.2646960419467805E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2
