	rep	chi2	aN	bN	g2A	a2	g2B	B2
0	0	73.737	3.1533242336914402E-002	7.0611879898933375E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
1	1	141.839	2.7349969772093738E-002	7.5037962191347243E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
2	2	177.858	2.4995964645409971E-002	7.7043159996661101E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
3	3	174.079	3.6656194604400977E-002	5.5875439968439897E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
4	4	115.220	3.0969509248556015E-002	7.3606762924541477E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
5	5	149.774	1.9084498321307125E-002	8.3777462241039075E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
6	6	157.286	3.2111675740128826E-002	7.6954762429152779E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
7	7	136.975	3.4902807932186114E-002	6.4443513314897324E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
8	8	144.229	2.8885027992545859E-002	6.2767922506745261E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
9	9	139.719	1.9266806472937131E-002	8.3436858604078942E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
10	10	121.150	3.9191959723053477E-002	5.1063636207382759E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
11	11	141.840	3.8395624400887424E-002	5.9737610415140224E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
12	12	116.424	3.8395109512935288E-002	6.0696968598956957E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
13	13	130.656	2.4826087159662363E-002	8.7112247010392024E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
14	14	172.839	2.7361673247188426E-002	7.1614116914653497E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
15	15	170.085	3.4898749466573398E-002	5.9698176950866849E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
16	16	162.071	3.2112092273958809E-002	7.0828394450332607E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
17	17	137.215	3.3813214086503909E-002	7.5529287891206651E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
18	18	139.630	4.3315125834436641E-002	5.3231662510732913E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
19	19	163.267	3.7015086012823883E-002	6.0056935791638760E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
20	20	117.933	3.2120339170791684E-002	8.0075319405262732E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
21	21	149.438	4.2790335957877568E-002	4.4520331992330825E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
22	22	138.019	2.5029908915699756E-002	7.9240780389785923E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
23	23	128.575	1.8741240018933750E-002	9.4911409928766580E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
24	24	198.337	2.4764534204551908E-002	8.1029841370331354E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
25	25	147.530	2.4796499299994570E-002	8.1482615715327764E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
26	26	135.818	2.6119761422460017E-002	8.3511304718902266E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
27	27	137.443	1.8622680405854589E-002	1.0206103509270606E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
28	28	151.288	3.2127027418986848E-002	6.4475191857723477E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
29	29	131.251	3.1832934908245500E-002	6.1657338507958709E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
30	30	125.695	3.4908759701162417E-002	8.2700456258623378E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
31	31	156.595	2.8902042254505975E-002	7.5038863458667809E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
32	32	127.552	1.8496125713849176E-002	8.2381795582538025E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
33	33	124.289	3.1531042141914101E-002	6.3952144963199953E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
34	34	174.150	3.2115204800740732E-002	7.7945308259409068E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
35	35	170.642	2.4481241426813793E-002	6.9763396591939128E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
