rep	chi2	aN	bN	g2A	a2	g2B	B2
0	0	92.592	3.8067680581194141E-004	0.46606766116422593	1.0507023961698794	1.6942569045401035E-002	0.0000000000000000	0.0000000000000000.1
1	1	590.357	-8.0732881660797159E-002	-3.3935846816441247E-002	3.2418512319054571E-014	4.8849813083506888E-015	0.0000000000000000	0.0000000000000000.1
2	2	168.878	2.1072980479709680E-003	0.42762202194837784	0.77516663937183172	1.5167870373462122E-002	0.0000000000000000	0.0000000000000000.1
3	3	213.708	0.20515522377078593	0.27448924101185784	5.5582821598912147E-002	2.4494536995052663E-002	0.0000000000000000	0.0000000000000000.1
4	4	151.175	3.3910897625079317E-004	0.47841783561966245	1.0444363254095321	1.5802692819218755E-002	0.0000000000000000	0.0000000000000000.1
5	5	198.293	1.8661455263571658E-004	0.24127761452036600	1.1950102615716029	3.4289814966673604E-002	0.0000000000000000	0.0000000000000000.1
6	6	139.790	1.5002336540441419E-004	0.17184413378570426	1.1753371083870030	4.7378544834025038E-002	0.0000000000000000	0.0000000000000000.1
7	7	184.898	3.5729840938385216E-004	1.8013222626424158E-002	1.0211144342536598	0.25394496182186532	0.0000000000000000	0.0000000000000000.1
8	8	153.664	2.8818419910964232E-004	0.49833554289699677	1.1305090612185615	1.6900826633545640E-002	0.0000000000000000	0.0000000000000000.1
9	9	213.926	0.37906076094539137	0.39333978527592345	2.8025161889775552E-002	2.0097870513271499E-002	0.0000000000000000	0.0000000000000000.1
10	10	178.183	5.0649595202613418E-004	3.7540461795658883E-002	1.0227505440985132	0.14735884477385874	0.0000000000000000	0.0000000000000000.1
11	11	281.079	-4.1545487008239068E-004	0.49997583116279665	5.5838144108477650E-009	1.9952624005415975E-002	0.0000000000000000	0.0000000000000000.1
12	12	178.235	7.5155484037053855E-005	0.48201085020408563	1.3754255514662854	1.7638562634642474E-002	0.0000000000000000	0.0000000000000000.1
13	13	217.953	1.9621637954154031E-003	0.15493035431777488	0.73204315645202911	4.6317176331366894E-002	0.0000000000000000	0.0000000000000000.1
14	14	174.041	1.9781825344482307E-004	7.1697863694810474E-002	1.1939009211021518	8.9443603890277723E-002	0.0000000000000000	0.0000000000000000.1
15	15	193.987	1.6546784309498519E-004	0.47848710878518597	1.2163258450188550	1.6264089935808634E-002	0.0000000000000000	0.0000000000000000.1
16	16	168.748	4.2294857325257673E-004	1.4732951445455486E-002	1.0246322208904610	0.28238143963193252	0.0000000000000000	0.0000000000000000.1
17	17	144.524	0.49973258121524267	0.41125140320696135	1.9650874752499603E-002	1.7184580802437899E-002	0.0000000000000000	0.0000000000000000.1
18	18	183.494	0.18628823706156988	0.18691589166122291	6.9630596739389428E-002	3.4490866260905584E-002	0.0000000000000000	0.0000000000000000.1
19	19	146.579	0.43832904080256896	6.3015636368266445E-002	2.2711332992165767E-002	0.11390452963390374	0.0000000000000000	0.0000000000000000.1
20	20	369.892	0.16248645018877253	-3.3794774420118447E-002	0.11533150865612640	3.9149252395453971E-008	0.0000000000000000	0.0000000000000000.1
21	21	332.512	0.18238481593741052	-3.1448537882720742E-002	0.11421905414875277	3.0371605230783416E-010	0.0000000000000000	0.0000000000000000.1
