	rep	chi2	aN	bN	g2A	a2	g2B	B2
0	0	131.064	1.7069230882112471E-002	1.4434178288728554E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
1	1	256.104	2.1866956197765325E-002	1.5296621431664291E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
2	2	271.906	1.7815406077917054E-002	1.4553612174587116E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
3	3	249.972	1.9874870284298476E-002	1.4713854353815191E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
4	4	230.251	1.7585099841989527E-002	1.3030680541774343E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
5	5	249.617	1.2888401818107714E-002	1.5740509327736872E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
6	6	219.228	1.7815766887489010E-002	1.4894435238383200E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
7	7	232.059	1.3963863856388203E-002	1.4868894886400509E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
8	8	208.339	1.3768161868518369E-002	1.5352918029181144E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
9	9	278.108	1.8205346385391688E-002	1.2573283834648612E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
10	10	223.907	1.8541737255177451E-002	1.4650113180923616E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
11	11	251.279	1.6117366272188738E-002	1.5565639410673474E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
12	12	228.036	1.3628244469582759E-002	1.3037399492995358E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
13	13	272.341	1.7449149002092046E-002	1.5489187523990575E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
14	14	242.974	1.9274505121635005E-002	1.3474207881884442E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
15	15	215.128	2.2408177205634774E-002	1.5220778162131791E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
16	16	255.086	1.8324791397183196E-002	1.4104917533830308E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
17	17	291.830	1.3622087845315434E-002	1.4593161499203075E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
18	18	241.308	1.8321965674514287E-002	1.2912102824641399E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
19	19	259.810	2.1206353078312826E-002	1.4834058531329908E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
20	20	252.571	2.1563751070308071E-002	1.4390310129714742E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
21	21	263.143	1.8859982474512427E-002	1.1993780548751845E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
22	22	283.125	1.7431980256055454E-002	1.2996666886038254E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
23	23	288.802	1.8324742953981149E-002	1.4014725067695771E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
24	24	254.060	1.7464617452910280E-002	1.5015855306125696E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
25	25	263.820	1.5972460007468894E-002	1.3490901549037489E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
26	26	268.600	1.5977379900557961E-002	1.6253793153007998E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
27	27	235.695	1.5663379568866265E-002	1.5628987164562860E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
28	28	216.607	1.8624192630650294E-002	1.3087192491230200E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
29	29	263.669	1.5977730955473043E-002	1.5839911552765859E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
30	30	198.874	1.4854577629987917E-002	1.3757132848923631E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
31	31	224.663	1.7428559810006267E-002	1.4653720117648039E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
32	32	262.389	1.9131172742019725E-002	1.4372176242566030E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
